Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZNF579		19q13.42	AMP	15	408	3.7%	No
C19ORF81		19q13.33	AMP	7	408	1.7%	No
BLOC1S4		4p16.1	HOMDEL	3	408	0.7%	No
CXORF38		Xp11.4	HOMDEL	1	408	0.2%	No
CFAP69		7q21.13	AMP	6	408	1.5%	No
LINC00838		10p11.22	HOMDEL	2	408	0.5%	No
CROCCP3		1p36.13	AMP	4	408	1.0%	No
PKD2L2		5q31.2	HOMDEL	1	408	0.2%	No
RN7SL717P		2q33.1	AMP	1	408	0.2%	No
KLK4		19q13.41	AMP	8	408	2.0%	No
GOLGA8N		15q13.3	HOMDEL	5	408	1.2%	No
HBS1L		6q23.3	AMP	7	408	1.7%	No
OR1D4		17p13.3	HOMDEL	7	408	1.7%	No
CTU2		16q24.3	HOMDEL	3	408	0.7%	No
ANO5		11p14.3	HOMDEL	7	408	1.7%	No
SMC4		3q25.33	HOMDEL	1	408	0.2%	No
RN7SKP131		22q11.21	AMP	13	408	3.2%	No
RNF17		13q12.12	HOMDEL	2	408	0.5%	No
RNA5SP243		7q32.1	AMP	4	408	1.0%	No
UEVLD		11p15.1	HOMDEL	4	408	1.0%	No
SLC22A5		5q31.1	HOMDEL	4	408	1.0%	No
PPP4C		16p11.2	AMP	13	408	3.2%	No
HACD1		10p12.33	HOMDEL	4	408	1.0%	No
KLK5		19q13.41	AMP	8	408	2.0%	No
TMEM186		16p13.2	HOMDEL	2	408	0.5%	No
FAM83E		19q13.33	AMP	3	408	0.7%	No
OR1D5		17p13.3	HOMDEL	7	408	1.7%	No
MT1HL1		1q43	AMP	5	408	1.2%	No
ABCE1		4q31.21	HOMDEL	2	408	0.5%	No
PKD2L1		10q24.31	HOMDEL	7	408	1.7%	No
LINC00683		18q23	HOMDEL	10	408	2.5%	No
MAGEL2		15q11.2	AMP	5	408	1.2%	No
ZNF578		19q13.41	AMP	12	408	2.9%	No
LINC00837		10p12.1	HOMDEL	4	408	1.0%	No
SMC3		10q25.2	HOMDEL	10	408	2.5%	Yes
ARL2BPP3		13q13.3	AMP	5	408	1.2%	No
RPN1		3q21.3	HOMDEL	1	408	0.2%	Yes
CROCCP2		1p36.13	AMP	4	408	1.0%	No
PDXP		22q13.1	AMP	6	408	1.5%	No
RN7SL66P		2p25.1	HOMDEL	1	408	0.2%	No
HSP90AB2P		4p15.33	AMP	1	408	0.2%	No
PTGDS		9q34.3	HOMDEL	4	408	1.0%	No
RNA5SP242		7q32.1	AMP	4	408	1.0%	No
NPRL2		3p21.31	HOMDEL	8	408	2.0%	No
RNA5SP249		7q35	HOMDEL	2	408	0.5%	No
SLC22A3		6q25.3	HOMDEL	4	408	1.0%	No
N4BP2L1		13q13.1	HOMDEL	8	408	2.0%	No
RFPL2		22q12.3	AMP	12	408	2.9%	No
MMS22L		6q16.1	HOMDEL	5	408	1.2%	No
KLK6		19q13.41	AMP	8	408	2.0%	No
EYA4		6q23.2	HOMDEL	2	408	0.5%	No
INSRR		1q23.1	HOMDEL	1	408	0.2%	No
FANCE		6p21.31	AMP	3	408	0.7%	Yes
CAAP1		9p21.2	AMP	5	408	1.2%	No
ATXN1L		16q22.2	AMP	11	408	2.7%	No
MGLL		3q21.3	HOMDEL	2	408	0.5%	No
RN7SL72P		7q36.1	AMP	2	408	0.5%	No
TRPM2		21q22.3	HOMDEL	3	408	0.7%	No
MCU		10q22.1	HOMDEL	3	408	0.7%	No
ZNF577		19q13.41	AMP	13	408	3.2%	No
IGSF22		11p15.1	AMP	2	408	0.5%	No
RN7SKP136		4q34.3	AMP	2	408	0.5%	No
SELPLG		12q24.11	AMP	4	408	1.0%	No
PSMB11		14q11.2	AMP	9	408	2.2%	No
GOLGA8M		15q13.1	HOMDEL	6	408	1.5%	No
FAM27E2		9p11.2	HOMDEL	8	408	2.0%	No
CBX3P4		12p13.33	AMP	8	408	2.0%	No
MTMR6		13q12.13	AMP	3	408	0.7%	No
CTNNBIP1		1p36.22	AMP	2	408	0.5%	No
TMEM45B		11q24.3	AMP	3	408	0.7%	No
FAM83G		17p11.2	AMP	9	408	2.2%	No
NOTCH4		6p21.32	AMP	8	408	2.0%	Yes
OSBPL5		11p15.4	AMP	1	408	0.2%	No
CRTC2		1q21.3	AMP	24	408	5.9%	No
POM121L9P		22q11.23	AMP	8	408	2.0%	No
SLC22A4		5q31.1	HOMDEL	4	408	1.0%	No
RNF141		11p15.3	HOMDEL	5	408	1.2%	No
TRPM3		9q21.12-q21.13	HOMDEL	5	408	1.2%	No
TMEM181		6q25.3	HOMDEL	4	408	1.0%	No
ELF1		13q14.11	AMP	4	408	1.0%	No
MAP3K13		3q27.2	HOMDEL	1	408	0.2%	Yes
ZNF576		19q13.31	AMP	9	408	2.2%	No
MRGPRX4		11p15.1	AMP	2	408	0.5%	No
BLOC1S2		10q24.31	HOMDEL	8	408	2.0%	No
FANCF		11p14.3	AMP	3	408	0.7%	Yes
RNA5SP244		7q32.2	AMP	3	408	0.7%	No
LRRC10		12q15	AMP	34	408	8.3%	No
FAM27E3		9q21.11	HOMDEL	8	408	2.0%	No
RFPL3		22q12.3	AMP	10	408	2.5%	No
IGSF23		19q13.31	AMP	9	408	2.2%	No
N4BP2L2		13q13.1	HOMDEL	8	408	2.0%	No
RN7SKP137		4q27	AMP	3	408	0.7%	No
SVIL		10p11.23	HOMDEL	4	408	1.0%	No
FLNA		Xq28	HOMDEL	3	408	0.7%	No
TMEM45A		3q12.2	AMP	6	408	1.5%	No
RN7SL297P		2q13	HOMDEL	1	408	0.2%	No
SLC22A1		6q25.3	HOMDEL	4	408	1.0%	No
RNF14		5q31.3	HOMDEL	2	408	0.5%	No
WDR5B		3q21.1	AMP	6	408	1.5%	No
RNA5SP246		7q32.2	AMP	3	408	0.7%	No
CRTC3		15q26.1	AMP	3	408	0.7%	Yes
RN7SKP134		12p13.1	AMP	2	408	0.5%	No
CTXN2		15q21.1	AMP	1	408	0.2%	No
FOXA1		14q21.1	HOMDEL	9	408	2.2%	Yes
ELF3		1q32.1	AMP	1	408	0.2%	Yes
LINC00680		6p11.2	HOMDEL	1	408	0.2%	No
NOTCH2		1p12	AMP	41	408	10.0%	Yes
RNA5SP247		7q34	HOMDEL	1	408	0.2%	No
C4BPB		1q32.1	HOMDEL	2	408	0.5%	No
FANCG		9p13.3	AMP	7	408	1.7%	Yes
CTDSPL		3p22.2	AMP	11	408	2.7%	No
BLOC1S1		12q13.2	HOMDEL	1	408	0.2%	No
ZNF575		19q13.31	AMP	9	408	2.2%	No
EYA3		1p35.3	HOMDEL	1	408	0.2%	No
KLK7		19q13.41	AMP	8	408	2.0%	No
GOLGA8K		15q13.3	HOMDEL	5	408	1.2%	No
MTMR8		Xq11.2	AMP	1	408	0.2%	No
CGNL1		15q21.3	HOMDEL	1	408	0.2%	No
ZNF729		19p12	AMP	4	408	1.0%	No
ANO2		12p13.31	HOMDEL	2	408	0.5%	No
GOLGA8J		15q13.2	HOMDEL	6	408	1.5%	No
RN7SL732P		Xp11.4	AMP	4	408	1.0%	No
AASS		7q31.32	AMP	4	408	1.0%	No
OSBPL3		7p15.3	AMP	10	408	2.5%	No
SLC22A2		6q25.3	HOMDEL	4	408	1.0%	No
RNA5SP245		7q32.2	AMP	3	408	0.7%	No
RFPL1		22q12.2	AMP	17	408	4.2%	No
KLK8		19q13.41	AMP	8	408	2.0%	No
FAM83H		8q24.3	AMP	20	408	4.9%	No
C4BPA		1q32.2	HOMDEL	2	408	0.5%	No
ELF2		4q31.1	AMP	3	408	0.7%	No
RN7SKP135		8q12.3	AMP	11	408	2.7%	No
AZIN1		8q22.3	AMP	56	408	13.7%	No
IGSF21		1p36.13	AMP	4	408	1.0%	No
ZNF788P		19p13.2	HOMDEL	2	408	0.5%	No
NECAB3		20q11.22	AMP	22	408	5.4%	No
TRPM1		15q13.3	HOMDEL	6	408	1.5%	No
CAVIN2		2q32.3	HOMDEL	2	408	0.5%	No
RNA5SP248		7q34	HOMDEL	1	408	0.2%	No
NOTCH3		19p13.12	AMP	3	408	0.7%	Yes
PHPT1		9q34.3	AMP	4	408	1.0%	No
PSMB10		16q22.1	AMP	9	408	2.2%	No
CTXN1		19p13.2	AMP	3	408	0.7%	No
ZNF574		19q13.2	AMP	9	408	2.2%	No
ADRA2A		10q25.2	HOMDEL	9	408	2.2%	No
PRR25		16p13.3	HOMDEL	6	408	1.5%	No
C11ORF24		11q13.2	HOMDEL	1	408	0.2%	No
NECAB1		8q21.3	AMP	26	408	6.4%	No
ZNF728		19p12	AMP	5	408	1.2%	No
LINC00689		7q36.3	HOMDEL	4	408	1.0%	No
UTP14A		Xq26.1	AMP	2	408	0.5%	No
GPRC5D		12p13.1	AMP	3	408	0.7%	No
RHOBTB1		10q21.2	HOMDEL	4	408	1.0%	No
YBEY		21q22.3	HOMDEL	4	408	1.0%	No
PDXK		21q22.3	AMP	2	408	0.5%	No
SMARCC2		12q13.2	AMP	7	408	1.7%	No
POM121L2		6p22.1	HOMDEL	1	408	0.2%	No
HMGCR		5q13.3	HOMDEL	7	408	1.7%	No
PSPN		19p13.3	AMP	1	408	0.2%	No
ITGB1BP2		Xq13.1	AMP	3	408	0.7%	No
MRGPRX1		11p15.1	AMP	2	408	0.5%	No
ZNF573		19q13.12	AMP	22	408	5.4%	No
APIP		11p13	HOMDEL	3	408	0.7%	No
ZNF407		18q23	HOMDEL	7	408	1.7%	No
RHOBTB2		8p21.3	HOMDEL	31	408	7.6%	No
ZNF727		7q11.21	AMP	6	408	1.5%	No
SERPINB9		6p25.2	AMP	7	408	1.7%	No
GOLGA8H		15q13.2	HOMDEL	6	408	1.5%	No
SMARCC1		3p21.31	AMP	3	408	0.7%	No
NECAB2		16q23.3	AMP	7	408	1.7%	No
NOD2		16q12.1	HOMDEL	2	408	0.5%	No
COG1		17q25.1	AMP	13	408	3.2%	No
ZNF572		8q24.13	AMP	31	408	7.6%	No
EXTL3		8p21.1	HOMDEL	24	408	5.9%	No
GPRC5B		16p12.3	AMP	5	408	1.2%	No
NICOL1		4p16.3	HOMDEL	3	408	0.7%	No
UTP14C		13q14.3	AMP	2	408	0.5%	No
SIM2		21q22.13	HOMDEL	2	408	0.5%	No
RHOBTB3		5q15	HOMDEL	3	408	0.7%	No
INCA1		17p13.2	HOMDEL	7	408	1.7%	No
CIDEC		3p25.3	AMP	36	408	8.8%	No
MRGPRX2		11p15.1	AMP	2	408	0.5%	No
NOCT		4q31.1	HOMDEL	1	408	0.2%	No
SERPINB8		18q22.1	AMP	1	408	0.2%	No
ETFDH		4q32.1	HOMDEL	7	408	1.7%	No
ADRA2C		4p16.3	HOMDEL	3	408	0.7%	No
TGFB3		14q24.3	AMP	5	408	1.2%	No
ZNF726		19p12	AMP	13	408	3.2%	No
VPS72		1q21.3	AMP	40	408	9.8%	No
KHK		2p23.3	HOMDEL	2	408	0.5%	No
ZNF408		11p11.2	HOMDEL	1	408	0.2%	No
MRPS2		9q34.3	AMP	1	408	0.2%	No
ZNF254		19p13	HOMDEL	5	408	1.2%	No
CTDSPL2		15q15.3-q21.1	HOMDEL	2	408	0.5%	No
RN7SL820P		2q32.3	HOMDEL	2	408	0.5%	No
SIM1		6q16.3	HOMDEL	6	408	1.5%	No
SEC24A		5q31.1	HOMDEL	3	408	0.7%	No
CEP126		11q22.1	AMP	18	408	4.4%	No
COG2		1q42.2	AMP	5	408	1.2%	No
CEP89		19q13.11	AMP	15	408	3.7%	No
GPRC5C		17q25.1	AMP	12	408	2.9%	No
SVIP		11p14.3	HOMDEL	4	408	1.0%	No
ZNF571		19q13.12	AMP	20	408	4.9%	No
MRGPRX3		11p15.1	AMP	2	408	0.5%	No
CIDEB		14q12	AMP	5	408	1.2%	No
GOLGA8G		15q13.1	HOMDEL	6	408	1.5%	No
CCHCR1		6p21.33	AMP	10	408	2.5%	No
RN7SL563P		8q22.3	AMP	69	408	16.9%	No
TGFB2		1q41	AMP	3	408	0.7%	No
ACAT1		11q22.3	HOMDEL	4	408	1.0%	No
ENPP7P8		11q13.4	HOMDEL	1	408	0.2%	No
POM121C		7q11.23	HOMDEL	2	408	0.5%	No
HIP1		7q11.23	AMP	5	408	1.2%	Yes
TGFB1		19q13.2	AMP	7	408	1.7%	No
SNORD121A		9p13.3	AMP	5	408	1.2%	No
MRPS7		17q25.1	AMP	12	408	2.9%	No
TSEN15		1q25.3	HOMDEL	1	408	0.2%	No
CITED4		1p34.2	AMP	22	408	5.4%	No
C11ORF21		11p15.5	HOMDEL	6	408	1.5%	No
ZNF570		19q13.12	AMP	19	408	4.7%	No
HMGN5		Xq21.1	AMP	1	408	0.2%	No
LILRA1		19q13.42	AMP	15	408	3.7%	No
GOLGA8F		15q13.1	HOMDEL	6	408	1.5%	No
VTCN1		1p13.1-p12	AMP	7	408	1.7%	Yes
ZSCAN12P1		6p22.1	AMP	11	408	2.7%	No
ZNF724		19p12	AMP	3	408	0.7%	No
PCDH11X		Xq21.31	HOMDEL	6	408	1.5%	No
LINC00685		Xp22.33 and Yp11.32	HOMDEL	7	408	1.7%	No
TRANK1		3p22.2	AMP	10	408	2.5%	No
ACAT2		6q25.3	HOMDEL	4	408	1.0%	No
ZNF256		19q13.43	HOMDEL	1	408	0.2%	No
GNG5B		Xq23	AMP	2	408	0.5%	No
SNORD121B		9p13.3	AMP	5	408	1.2%	No
LINC00839		10q11.21	HOMDEL	4	408	1.0%	No
ACTL10		20q11.22	AMP	21	408	5.1%	No
CFAP68		11q23.1	AMP	1	408	0.2%	No
MRPS6		21q22.11	AMP	5	408	1.2%	No
CEP128		14q31.1	AMP	3	408	0.7%	No
ANKRD19P		9q22.31	HOMDEL	4	408	1.0%	No
RN7SL253P		4q34.1	AMP	1	408	0.2%	No
LILRA2		19q13.42	AMP	15	408	3.7%	No
IVNS1ABP		1q25.3	HOMDEL	1	408	0.2%	No
MRPS5		2q11.1	AMP	6	408	1.5%	No
UCKL1		20q13.33	AMP	5	408	1.2%	No
RASGRP1		15q14	HOMDEL	2	408	0.5%	No
MEST		7q32.2	AMP	3	408	0.7%	No
EEF1AKMT2		10q26.13	HOMDEL	11	408	2.7%	No
NOD1		7p14.3	HOMDEL	2	408	0.5%	Yes
NT5C1B		2p24.2	HOMDEL	1	408	0.2%	No
FAM83B		6p12.1	AMP	5	408	1.2%	No
MATCAP2		7p14.2	AMP	10	408	2.5%	No
ISG15		1p36.33	HOMDEL	1	408	0.2%	No
ATP2C1		3q22.1	HOMDEL	1	408	0.2%	No
HMGN3		6q14.1	AMP	1	408	0.2%	No
RN7SL81P		7q32.1	HOMDEL	1	408	0.2%	No
EEF1AKMT1		13q12.11	HOMDEL	5	408	1.2%	No
CSN1S2AP		4q13.3	AMP	7	408	1.7%	No
ATP2C2		16q24.1	HOMDEL	1	408	0.2%	No
RN7SL57P		9q32	AMP	2	408	0.5%	No
HACD4		9p21.3	HOMDEL	42	408	10.3%	No
HMGN4		6p22.2	AMP	13	408	3.2%	No
DUS1L		17q25.3	AMP	11	408	2.7%	No
FANCA		16q24.3	AMP	8	408	2.0%	Yes
ITGB1BP1		2p25.1	AMP	10	408	2.5%	No
OR5G5P		11q12.1	HOMDEL	1	408	0.2%	No
TOX		8q12.1	AMP	8	408	2.0%	No
KLK1		19q13.33	AMP	8	408	2.0%	No
FAM83A		8q24.13	AMP	33	408	8.1%	No
LILRA5		19q13.42	AMP	13	408	3.2%	No
HMCN1		1q25.3-q31.1	HOMDEL	2	408	0.5%	No
INA		10q24.33	AMP	2	408	0.5%	No
ZNHIT3		17q12	AMP	8	408	2.0%	No
ADCY5		3q21.1	HOMDEL	1	408	0.2%	No
OR5K2		3q11.2	AMP	7	408	1.7%	No
HTR6		1p36.13	AMP	3	408	0.7%	No
ATP6V1E1		22q11.21	AMP	4	408	1.0%	No
COG6		13q14.11	AMP	4	408	1.0%	No
RSC1A1		1p36.21	AMP	4	408	1.0%	No
MIF4GD		17q25.1	AMP	12	408	2.9%	No
ZNHIT2		11q13.1	AMP	10	408	2.5%	No
RNA5SP400		15q25.3	HOMDEL	2	408	0.5%	No
LILRA6		19q13.42	AMP	13	408	3.2%	No
HIBCH		2q32.2	HOMDEL	2	408	0.5%	No
FSD1L		9q31.2	AMP	4	408	1.0%	No
ADCY4		14q12	HOMDEL	5	408	1.2%	No
HMGN2		1p36.11	AMP	3	408	0.7%	No
COG7		16p12.2	AMP	10	408	2.5%	No
OR5K1		3q11.2	AMP	7	408	1.7%	No
ATP6V1E2		2p21	AMP	7	408	1.7%	No
COG8		16q22.1	AMP	11	408	2.7%	No
SERPINB1		6p25.2	AMP	7	408	1.7%	No
HTR4		5q32	AMP	3	408	0.7%	No
TINCR		19p13.3	AMP	3	408	0.7%	No
WDR64		1q43	AMP	4	408	1.0%	No
MDK		11p11.2	AMP	6	408	1.5%	No
GOSR2		17q21.32	HOMDEL	1	408	0.2%	No
MANCR		10p15.1	HOMDEL	1	408	0.2%	No
RN7SL200P		6p21.31	HOMDEL	1	408	0.2%	No
PRSS45P		3p21.31	AMP	5	408	1.2%	No
LILRA3		19q13.4 alternate reference locus	AMP	13	408	3.2%	No
SPCS1		3p21.1	HOMDEL	7	408	1.7%	No
ADCY3		2p23.3	HOMDEL	2	408	0.5%	No
HMGN1		21q22.2	AMP	4	408	1.0%	No
LAT2		7q11.23	AMP	4	408	1.0%	No
LILRA4		19q13.42	AMP	13	408	3.2%	No
ENAH		1q42.12	AMP	1	408	0.2%	No
FAM118B		11q24.2	AMP	1	408	0.2%	No
MCMDC2		8q13.1	AMP	15	408	3.7%	No
POU3F4		Xq21.1	HOMDEL	2	408	0.5%	Yes
HMCN2		9q34.11	HOMDEL	3	408	0.7%	No
LINC00283		13q33.1	AMP	11	408	2.7%	No
RN7SL791P		5q32	HOMDEL	1	408	0.2%	No
RANBP6		9p24.1	HOMDEL	16	408	3.9%	No
RSPH10B		7p22.1	AMP	15	408	3.7%	No
COG3		13q14.13	AMP	4	408	1.0%	No
H2AZ1		4q23	HOMDEL	1	408	0.2%	No
FTHL17		Xp21.2	HOMDEL	1	408	0.2%	No
TACSTD2		1p32.1	AMP	7	408	1.7%	Yes
CDC14A		1p21.2	AMP	1	408	0.2%	No
WDR62		19q13.12	AMP	12	408	2.9%	No
SLC35E2A		1p36.33	HOMDEL	1	408	0.2%	No
ESR1		6q25.1-q25.2	AMP	1	408	0.2%	Yes
RN7SL481P		7q34	HOMDEL	1	408	0.2%	No
PRR21		2q37.3	HOMDEL	17	408	4.2%	No
RN7SL776P		4q32.3	HOMDEL	8	408	2.0%	No
SOX21		13q32.1	HOMDEL	4	408	1.0%	No
SERPINB6		6p25.2	AMP	7	408	1.7%	No
HPSE2		10q24.2	HOMDEL	7	408	1.7%	No
PLCH1		3q25.31	AMP	14	408	3.4%	No
SIAH1		16q12.1	HOMDEL	1	408	0.2%	No
GPRC5A		12p13.1	AMP	3	408	0.7%	No
MNX1		7q36.3	HOMDEL	4	408	1.0%	Yes
COG4		16q22.1	AMP	11	408	2.7%	No
OR5K4		3q11.2	AMP	7	408	1.7%	No
FCGR1BP		1p11.2	AMP	40	408	9.8%	No
OR7A10		19p13.12	AMP	2	408	0.5%	No
SLC35E2B		1p36.33	HOMDEL	1	408	0.2%	No
ZNHIT6		1p22.3	AMP	3	408	0.7%	No
KLK15		19q13.33	AMP	8	408	2.0%	No
OR5K3		3q11.2	AMP	7	408	1.7%	No
PLCH2		1p36.32	AMP	3	408	0.7%	No
SLIT3		5q34-q35.1	HOMDEL	4	408	1.0%	Yes
SFTPC		8p21.3	HOMDEL	29	408	7.1%	No
RGS21		1q31.2	AMP	13	408	3.2%	No
CEP20		16p13.11	HOMDEL	1	408	0.2%	No
PHYKPL		5q35.3	AMP	1	408	0.2%	No
RN7SL238P		15q13.1	AMP	1	408	0.2%	No
ILDR2		1q24.1	AMP	46	408	11.3%	No
TEDDM1		1q25.3	AMP	15	408	3.7%	No
POMZP3		7q11.23	AMP	6	408	1.5%	No
APLF		2p13.3	AMP	9	408	2.2%	No
FIRRM		1q24.2	AMP	36	408	8.8%	No
RGS22		8q22.2	AMP	63	408	15.4%	No
COLCA1		11q23.1	HOMDEL	4	408	1.0%	No
PARPBP		12q23.2	AMP	6	408	1.5%	No
KLK14		19q13.41	AMP	8	408	2.0%	No
CDC14B		9q22.32-q22.33	AMP	1	408	0.2%	No
OSBPL10		3p23	AMP	17	408	4.2%	No
SIAH3		13q14.13	HOMDEL	20	408	4.9%	No
HEYL		1p34.2	AMP	25	408	6.1%	No
RANBP9		6p23	HOMDEL	1	408	0.2%	No
COG5		7q22.3	AMP	4	408	1.0%	No
ESR2		14q23.2-q23.3	AMP	1	408	0.2%	No
PLEK		2p14	AMP	8	408	2.0%	No
MTMR2		11q21	AMP	9	408	2.2%	No
AQP10		1q21.3	HOMDEL	1	408	0.2%	No
OSBPL9		1p32.3	AMP	8	408	2.0%	No
FOXI3		2p11.2	AMP	4	408	1.0%	No
ATPSCKMT		5p15.2	AMP	41	408	10.0%	No
SULT1C4		2q12.3	HOMDEL	1	408	0.2%	No
UFL1		6q16.1	HOMDEL	5	408	1.2%	No
NPTX2		7q22.1	AMP	5	408	1.2%	No
KLK9		19q13.41	AMP	8	408	2.0%	No
DMAC2		19q13.2	AMP	7	408	1.7%	No
RNA5SP252		8p23.1	HOMDEL	29	408	7.1%	No
FAM133B		7q21.2	AMP	6	408	1.5%	No
PYY		17q21.31	AMP	3	408	0.7%	No
HDHD2		18q21.1	AMP	3	408	0.7%	No
MTMR3		22q12.2	AMP	17	408	4.2%	No
FAM133A		Xq21.32	AMP	3	408	0.7%	No
SLIT2		4p15.31	HOMDEL	3	408	0.7%	Yes
HNF4G		8q21.13	HOMDEL	1	408	0.2%	No
MLST8		16p13.3	HOMDEL	6	408	1.5%	No
SULT1C3		2q12.3	HOMDEL	1	408	0.2%	No
OSBPL8		12q21.2	AMP	3	408	0.7%	No
SFTPD		10q22.3	HOMDEL	4	408	1.0%	No
SLC36A3		5q33.1	HOMDEL	1	408	0.2%	No
SLCO2A1		3q22.1-q22.2	AMP	7	408	1.7%	No
ILDR1		3q13.33	AMP	6	408	1.5%	No
DMAC1		9p24.1	AMP	9	408	2.2%	No
ME1		6q14.2	AMP	3	408	0.7%	No
RGS20		8q11.23	AMP	14	408	3.4%	No
KLK13		19q13.41	AMP	8	408	2.0%	No
MUC5AC		11p15.5	HOMDEL	6	408	1.5%	No
ZAN		7q22.1	AMP	6	408	1.5%	No
TMEM184C		4q31.23	AMP	6	408	1.5%	No
IQCN		19p13.11	HOMDEL	1	408	0.2%	No
BHMT2		5q14.1	HOMDEL	6	408	1.5%	No
RNA5SP253		8p23.1	HOMDEL	31	408	7.6%	No
GSC		14q32.13	AMP	2	408	0.5%	No
LRG1		19p13.3	AMP	2	408	0.5%	No
RFPL3S		22q12.3	AMP	10	408	2.5%	No
ANKRD34C		15q25.1	HOMDEL	1	408	0.2%	No
ENAM		4q13.3	AMP	9	408	2.2%	No
CBX3P2		18p11.32	AMP	18	408	4.4%	No
ME3		11q14.2	AMP	10	408	2.5%	No
FOXI1		5q35.1	AMP	1	408	0.2%	No
PDZK1		1q21.1	AMP	40	408	9.8%	No
OSBPL7		17q21.32	AMP	6	408	1.5%	No
MTMR4		17q22	AMP	11	408	2.7%	No
KCNN3		1q21.3	HOMDEL	1	408	0.2%	No
ACCSL		11p11.2	AMP	3	408	0.7%	No
ERBB2		17q12	AMP	24	408	5.9%	Yes
KLK12		19q13.41	AMP	8	408	2.0%	No
OR52M1		11p15.4	HOMDEL	4	408	1.0%	No
ANO10		3p22.1-p21.33	HOMDEL	3	408	0.7%	No
C4ORF33		4q28.2	HOMDEL	1	408	0.2%	No
RNA5SP405		16p12.1	HOMDEL	2	408	0.5%	No
SULT1C2		2q12.3	HOMDEL	1	408	0.2%	No
KIN		10p14	AMP	37	408	9.1%	No
BBX		3q13.12	AMP	7	408	1.7%	No
ENOPH1		4q21.22	AMP	1	408	0.2%	No
UNC13B		9p13.3	AMP	9	408	2.2%	No
MCC		5q22.2	HOMDEL	9	408	2.2%	No
SH2D1A		Xq25	HOMDEL	4	408	1.0%	Yes
KCNN2		5q22.3	HOMDEL	6	408	1.5%	No
AGER		6p21.32	AMP	8	408	2.0%	No
GOLGA8T		15q13.2	HOMDEL	6	408	1.5%	No
CYTL1		4p16.2	HOMDEL	4	408	1.0%	No
KIAA1549		7q34	HOMDEL	1	408	0.2%	Yes
SLIT1		10q24.1	HOMDEL	5	408	1.2%	No
RNA5SP251		8p23.2	HOMDEL	34	408	8.3%	No
NPTX1		17q25.3	AMP	9	408	2.2%	No
AATF		17q12	AMP	10	408	2.5%	No
OSBPL6		2q31.2	AMP	2	408	0.5%	No
SGTA		19p13.3	AMP	2	408	0.5%	No
KLK11		19q13.41	AMP	8	408	2.0%	No
